,"Seg._sites_Belem","Seg._sites_Xingu","Seg._sites_Tapajos","Pi_Belem","Pi_Xingu","Pi_Tapajos","Taj_D_Belem","Taj_D_Xingu","Taj_D_Tapajos","Dxy_Belem_vs_Xingu","Dxy_Belem_vs_Tapajos","Dxy_Xingu_vs_Tapajos","Fst_Belem_vs_Xingu","Fst_Belem_vs_Tapajos","Fst_Xingu_vs_Tapajos","fdM","Topology_1","Topology_2","Topology_3","Recombination","CDS_proportion","chromosome_size","GC"
"Seg._sites_Belem","NA",0,1.24789067967868E-12,0,2.22044604925031E-16,3.10862446895044E-15,4.273914555597E-12,8.58384474611285E-11,8.76632100244024E-13,2.66453525910038E-15,2.68673971959288E-14,3.38618022510673E-13,0.000140501434363,8.55972054036869E-06,7.41647183666316E-08,0.000854456777971,0.000342796462343,2.31574801632384E-05,0.731930873842946,4.01170436425957E-07,0.024936831231081,0.002110572744802,0.000166418386544
"Seg._sites_Xingu",0,"NA",0,0,0,0,0,2.64233079860787E-14,2.59701149474267E-11,0,0,0,0.001695404406676,5.70292213766255E-05,8.38143163761629E-08,0.000350638503667,3.7801582979391E-06,2.16598239344279E-07,0.867490173141998,9.59736381256349E-07,0.05603070802559,0.002451889329213,0.00112286763997
"Seg._sites_Tapajos",1.24789067967868E-12,0,"NA",6.66133814775094E-16,0,0,0,4.44089209850063E-16,2.16859901147615E-08,6.79456491070596E-14,1.37667655053519E-14,0,0.011307334801583,0.000235619189858,1.6435911542878E-07,0.000229342485272,1.19884681293314E-07,1.41764102679076E-08,0.59454515031115,1.03861884821477E-05,0.074422361544621,0.005319023595508,0.004186031957925
"Pi_Belem",0,0,6.66133814775094E-16,"NA",0,0,3.5527136788005E-15,1.51434420558871E-13,3.09952064014851E-12,0,0,0,0.000498671206141,2.08094293334682E-05,2.36948900500522E-08,0.000353876727877,3.45857101273772E-05,1.4569528650199E-06,0.887405278782733,2.38832723375992E-07,0.023144904511418,0.001455267731329,0.0002231091278
"Pi_Xingu",2.22044604925031E-16,0,0,0,"NA",0,0,4.44089209850063E-16,6.12465633764714E-11,0,0,0,0.002767091744231,0.000110199632292,4.84860840366252E-08,0.000283059034737,1.91866649390526E-06,8.42895677699573E-08,0.858701239254224,5.36426864261585E-07,0.039223709408281,0.001446732958073,0.00075827218557
"Pi_Tapajos",3.10862446895044E-15,0,0,0,0,"NA",0,4.44089209850063E-16,1.5928813823507E-10,0,0,0,0.003978922365936,0.000137793530632,7.16687722501774E-08,0.000150729756287,8.81074448955133E-07,2.83676011569867E-08,0.846606988773306,7.43288236737527E-07,0.04577324771732,0.001742318340141,0.001221302691171
"Taj_D_Belem",4.273914555597E-12,0,0,3.5527136788005E-15,0,0,"NA",0,2.84791967786191E-09,3.10862446895044E-15,2.22044604925031E-16,0,0.004285079049714,8.0363484866286E-05,1.52390837726557E-08,7.95181009431989E-05,8.41080167734987E-08,2.31266916728146E-09,0.725155725294026,1.48182952752762E-06,0.025845150476254,0.002612370735669,0.00092427809481
"Taj_D_Xingu",8.58384474611285E-11,2.64233079860787E-14,4.44089209850063E-16,1.51434420558871E-13,4.44089209850063E-16,4.44089209850063E-16,0,"NA",1.20622218879873E-08,6.66133814775094E-16,2.22044604925031E-16,0,0.009816281389425,0.000334799728107,4.99253349772744E-09,9.11910589445064E-05,4.80763562293873E-08,1.04253650157204E-09,0.718406272461079,1.01713057087949E-06,0.012288903890943,0.001168323223234,0.000428043486677
"Taj_D_Tapajos",8.76632100244024E-13,2.59701149474267E-11,2.16859901147615E-08,3.09952064014851E-12,6.12465633764714E-11,1.5928813823507E-10,2.84791967786191E-09,1.20622218879873E-08,"NA",6.28830321147689E-13,7.92699239582362E-13,3.45394823852985E-11,4.12219299459338E-05,4.44826175134416E-05,2.96891807138877E-07,0.000155100925823,0.0009463655417,1.36710254525774E-05,0.292240323452881,6.31672492090729E-11,0.007873998826192,6.96145251448677E-05,1.45290210538107E-05
"Dxy_Belem_vs_Xingu",2.66453525910038E-15,0,6.79456491070596E-14,0,0,0,3.10862446895044E-15,6.66133814775094E-16,6.28830321147689E-13,"NA",0,0,0.002020977647464,9.15992920069719E-05,8.88927420561458E-09,0.000247226285243,1.65979505548641E-05,3.44164619914267E-07,0.838908591714261,1.58610640177415E-08,0.006598069180405,0.000260282832991,4.76523952972485E-05
"Dxy_Belem_vs_Tapajos",2.68673971959288E-14,0,1.37667655053519E-14,0,0,0,2.22044604925031E-16,2.22044604925031E-16,7.92699239582362E-13,0,"NA",0,0.001502715435989,0.000326456099012,3.39770918067472E-08,1.26290125752604E-05,6.4671053958687E-06,2.17611282327113E-08,0.690753481410628,4.53845494519101E-09,0.006028810058423,0.000166302899433,5.41433899181598E-05
