,"Seg._sites_Belem","Seg._sites_Xingu","Seg._sites_Tapajos","Pi_Belem","Pi_Xingu","Pi_Tapajos","Taj_D_Belem","Taj_D_Xingu","Taj_D_Tapajos","Dxy_Belem_vs_Xingu","Dxy_Belem_vs_Tapajos","Dxy_Xingu_vs_Tapajos","Fst_Belem_vs_Xingu","Fst_Belem_vs_Tapajos","Fst_Xingu_vs_Tapajos","fdM","Topology_1","Topology_2","Topology_3","Recombination","CDS_proportion","chromosome_size","GC"
"Dxy_Xingu_vs_Tapajos",3.38618022510673E-13,0,0,0,0,0,0,0,3.45394823852985E-11,0,0,"NA",0.004384504939401,0.000360542094857,1.02718948458147E-07,3.36535667471161E-05,2.42035818498465E-07,1.75448144901225E-09,0.920082074049444,1.15792215815702E-07,0.020806105879791,0.00063200363706,0.000437756726672
"Fst_Belem_vs_Xingu",0.000140501434363,0.001695404406676,0.011307334801583,0.000498671206141,0.002767091744231,0.003978922365936,0.004285079049714,0.009816281389425,4.12219299459338E-05,0.002020977647464,0.001502715435989,0.004384504939401,"NA",1.21865854145753E-05,0.000182864965474,0.005248673395396,0.392652696314733,0.055050448104425,0.007665108342793,4.58467585306988E-05,0.004089342743103,0.011874225818207,2.61506407688294E-05
"Fst_Belem_vs_Tapajos",8.55972054036869E-06,5.70292213766255E-05,0.000235619189858,2.08094293334682E-05,0.000110199632292,0.000137793530632,8.0363484866286E-05,0.000334799728107,4.44826175134416E-05,9.15992920069719E-05,0.000326456099012,0.000360542094857,1.21865854145753E-05,"NA",1.42396080704543E-07,0.135939787902771,0.037011356751725,0.017814410373265,0.84108598918924,0.001412613457352,0.047972747908704,0.118752541921554,0.001915844742842
"Fst_Xingu_vs_Tapajos",7.41647183666316E-08,8.38143163761629E-08,1.6435911542878E-07,2.36948900500522E-08,4.84860840366252E-08,7.16687722501774E-08,1.52390837726557E-08,4.99253349772744E-09,2.96891807138877E-07,8.88927420561458E-09,3.39770918067472E-08,1.02718948458147E-07,0.000182864965474,1.42396080704543E-07,"NA",0.001521759466582,0.000416114916563,1.37701751259378E-05,0.545107279675889,2.03468893844594E-06,0.001524464780623,0.002646045279215,2.16027673918262E-05
"fdM",0.000854456777971,0.000350638503667,0.000229342485272,0.000353876727877,0.000283059034737,0.000150729756287,7.95181009431989E-05,9.11910589445064E-05,0.000155100925823,0.000247226285243,1.26290125752604E-05,3.36535667471161E-05,0.005248673395396,0.135939787902771,0.001521759466582,"NA",0.001265512723519,6.91643036621059E-07,0.037095258902625,3.99607020118431E-06,0.001641781440857,0.000132485242862,0.00049384995956
"Topology_1",0.000342796462343,3.7801582979391E-06,1.19884681293314E-07,3.45857101273772E-05,1.91866649390526E-06,8.81074448955133E-07,8.41080167734987E-08,4.80763562293873E-08,0.0009463655417,1.65979505548641E-05,6.4671053958687E-06,2.42035818498465E-07,0.392652696314733,0.037011356751725,0.000416114916563,0.001265512723519,"NA",4.17488266180044E-12,0.056576925306643,0.00537789279239,0.457074161800471,0.078628653617108,0.179494129791159
"Topology_2",2.31574801632384E-05,2.16598239344279E-07,1.41764102679076E-08,1.4569528650199E-06,8.42895677699573E-08,2.83676011569867E-08,2.31266916728146E-09,1.04253650157204E-09,1.36710254525774E-05,3.44164619914267E-07,2.17611282327113E-08,1.75448144901225E-09,0.055050448104425,0.017814410373265,1.37701751259378E-05,6.91643036621059E-07,4.17488266180044E-12,"NA",0.835115206252376,3.14507009939735E-05,0.060170752081848,0.003756525180037,0.009931146870507
"Topology_3",0.731930873842946,0.867490173141998,0.59454515031115,0.887405278782733,0.858701239254224,0.846606988773306,0.725155725294026,0.718406272461079,0.292240323452881,0.838908591714261,0.690753481410628,0.920082074049444,0.007665108342793,0.84108598918924,0.545107279675889,0.037095258902625,0.056576925306643,0.835115206252376,"NA",0.05029765137816,0.00310472039529,0.022716659085154,0.004558634269345
"Recombination",4.01170436425957E-07,9.59736381256349E-07,1.03861884821477E-05,2.38832723375992E-07,5.36426864261585E-07,7.43288236737527E-07,1.48182952752762E-06,1.01713057087949E-06,6.31672492090729E-11,1.58610640177415E-08,4.53845494519101E-09,1.15792215815702E-07,4.58467585306988E-05,0.001412613457352,2.03468893844594E-06,3.99607020118431E-06,0.00537789279239,3.14507009939735E-05,0.05029765137816,"NA",4.13002525025963E-05,2.5176930318338E-08,6.09197154943786E-08
"CDS_proportion",0.024936831231081,0.05603070802559,0.074422361544621,0.023144904511418,0.039223709408281,0.04577324771732,0.025845150476254,0.012288903890943,0.007873998826192,0.006598069180405,0.006028810058423,0.020806105879791,0.004089342743103,0.047972747908704,0.001524464780623,0.001641781440857,0.457074161800471,0.060170752081848,0.00310472039529,4.13002525025963E-05,"NA",0.000123871222779,5.36681810103801E-11
"chromosome_size",0.002110572744802,0.002451889329213,0.005319023595508,0.001455267731329,0.001446732958073,0.001742318340141,0.002612370735669,0.001168323223234,6.96145251448677E-05,0.000260282832991,0.000166302899433,0.00063200363706,0.011874225818207,0.118752541921554,0.002646045279215,0.000132485242862,0.078628653617108,0.003756525180037,0.022716659085154,2.5176930318338E-08,0.000123871222779,"NA",8.76666281590666E-06
"GC",0.000166418386544,0.00112286763997,0.004186031957925,0.0002231091278,0.00075827218557,0.001221302691171,0.00092427809481,0.000428043486677,1.45290210538107E-05,4.76523952972485E-05,5.41433899181598E-05,0.000437756726672,2.61506407688294E-05,0.001915844742842,2.16027673918262E-05,0.00049384995956,0.179494129791159,0.009931146870507,0.004558634269345,6.09197154943786E-08,5.36681810103801E-11,8.76666281590666E-06,"NA"
